"abs"	"ord"	Clust2	Segregation	Seg_High	Seg_Medium	Seg_Low	Seg_No
-56	60	1	Orange	Orange	Orange	Green	Green
-87	288	1	Orange	Orange	Orange	Green	Green
-299	213	1	Orange	Green	Orange	Orange	Orange
-180	73	1	Orange	Orange	Orange	Green	Orange
-307	-152	1	Orange	Green	Orange	Orange	Orange
-360	-151	1	Orange	Orange	Orange	Green	Orange
-291	-6	1	Orange	Orange	Green	Orange	Green
319	35	2	Green	Green	Green	Green	Orange
-377	272	1	Orange	Orange	Green	Green	Orange
153	-220	2	Green	Green	Green	Orange	Orange
364	259	2	Green	Green	Green	Orange	Orange
94	-5	2	Green	Green	Green	Green	Green
-292	-100	1	Orange	Orange	Orange	Orange	Orange
-249	62	1	Orange	Orange	Orange	Orange	Green
63	-2	2	Green	Green	Green	Orange	Green
-225	113	1	Orange	Orange	Green	Orange	Green
-40	-187	1	Orange	Orange	Orange	Orange	Orange
109	253	2	Green	Green	Orange	Green	Orange
269	95	2	Green	Green	Green	Green	Green
253	-167	2	Green	Green	Green	Green	Green
136	-15	2	Green	Orange	Green	Green	Green
-219	131	1	Orange	Orange	Orange	Green	Green
-236	227	1	Orange	Orange	Orange	Orange	Green
-129	291	1	Orange	Green	Orange	Green	Orange
-354	3	1	Orange	Orange	Orange	Green	Orange
255	-91	2	Green	Green	Green	Green	Orange
-308	-230	1	Orange	Green	Orange	Orange	Orange
-338	118	1	Orange	Orange	Orange	Orange	Green
-217	5	1	Orange	Orange	Orange	Orange	Orange
70	155	2	Green	Green	Orange	Orange	Green
49	-10	2	Green	Green	Green	Orange	Orange
0	241	2	Green	Green	Green	Orange	Green
-35	-155	1	Orange	Green	Orange	Green	Orange
-218	-264	1	Orange	Orange	Green	Orange	Green
15	17	2	Green	Orange	Green	Green	Green
306	-39	2	Green	Green	Green	Green	Orange
-56	-202	1	Orange	Orange	Orange	Orange	Orange
329	-151	2	Green	Green	Green	Orange	Orange
266	-110	2	Green	Green	Green	Orange	Green
-150	280	1	Orange	Orange	Orange	Green	Green
350	17	2	Green	Orange	Green	Green	Green
-372	-47	1	Orange	Orange	Orange	Green	Orange
-9	241	2	Green	Green	Green	Green	Orange
207	251	2	Green	Green	Green	Green	Orange
-81	2	1	Orange	Orange	Orange	Orange	Orange
137	-166	2	Green	Green	Orange	Green	Green
186	231	2	Green	Orange	Green	Green	Orange
185	-9	2	Green	Orange	Orange	Green	Orange
-272	-189	1	Orange	Green	Green	Orange	Green
186	-204	2	Green	Green	Green	Orange	Green
87	67	2	Green	Green	Green	Orange	Orange
-108	-176	1	Orange	Orange	Orange	Green	Orange
285	3	2	Green	Green	Green	Green	Green
31	-224	2	Green	Green	Green	Green	Green
-368	153	1	Orange	Orange	Orange	Orange	Green
-179	238	1	Orange	Orange	Orange	Green	Orange
301	-222	2	Green	Orange	Green	Green	Green
-341	-70	1	Orange	Orange	Orange	Orange	Green
148	-51	2	Green	Green	Green	Orange	Green
165	127	2	Green	Green	Green	Orange	Orange
310	-186	2	Green	Green	Green	Green	Orange
-352	-283	1	Orange	Green	Orange	Green	Orange
49	-143	2	Green	Green	Green	Green	Orange
-213	-173	1	Orange	Orange	Orange	Orange	Green
28	33	2	Green	Green	Green	Green	Orange
91	121	2	Green	Green	Green	Green	Green
-80	115	1	Orange	Green	Green	Green	Orange
337	-12	2	Green	Green	Orange	Green	Green
-89	-16	1	Orange	Orange	Orange	Green	Green
-335	-149	1	Orange	Orange	Orange	Orange	Green
-330	-294	1	Orange	Orange	Orange	Green	Green
-18	114	2	Green	Green	Green	Orange	Green
290	287	2	Green	Green	Orange	Green	Orange
-49	279	1	Orange	Orange	Orange	Orange	Green
-396	-278	1	Orange	Green	Green	Orange	Green
