"abs"	"ord"	Clust2	Segregation	Seg_High	Seg_Medium	Seg_Low	Seg_No
270	-124	1	Orange	Green	Green	Green	Orange
-143	-165	2	Green	Orange	Green	Orange	Orange
144	123	1	Orange	Orange	Orange	Green	Green
159	11	1	Orange	Green	Green	Green	Orange
-34	98	2	Green	Green	Orange	Green	Green
161	252	1	Orange	Orange	Orange	Orange	Green
-67	-132	2	Green	Green	Green	Green	Green
-157	158	2	Green	Green	Green	Orange	Orange
301	181	1	Orange	Orange	Green	Orange	Green
-305	-147	2	Green	Green	Green	Orange	Green
322	63	1	Orange	Orange	Orange	Orange	Orange
362	-78	1	Orange	Orange	Orange	Orange	Green
163	103	1	Orange	Orange	Orange	Orange	Green
13	104	1	Orange	Orange	Orange	Orange	Orange
-40	-108	2	Green	Green	Green	Orange	Orange
274	242	1	Orange	Orange	Green	Green	Orange
-312	-181	2	Green	Green	Green	Green	Green
291	-273	1	Orange	Orange	Orange	Green	Green
-295	1	2	Green	Orange	Orange	Orange	Orange
-164	-217	2	Green	Green	Green	Green	Green
-362	-244	2	Green	Green	Green	Green	Green
-310	31	2	Green	Green	Orange	Orange	Green
144	135	1	Orange	Orange	Orange	Green	Green
280	-217	1	Orange	Orange	Orange	Orange	Green
238	-166	1	Orange	Orange	Orange	Orange	Orange
-166	113	2	Green	Green	Green	Orange	Orange
92	-254	1	Orange	Orange	Orange	Orange	Orange
252	60	1	Orange	Orange	Orange	Orange	Green
-400	78	2	Green	Green	Green	Green	Green
-383	-272	2	Green	Green	Green	Orange	Orange
-47	-108	2	Green	Green	Green	Green	Green
-168	-157	2	Green	Green	Green	Green	Orange
-259	-79	2	Green	Green	Green	Orange	Green
379	-211	1	Orange	Orange	Orange	Orange	Orange
140	263	1	Orange	Orange	Orange	Green	Orange
145	-173	1	Orange	Orange	Orange	Orange	Orange
-357	137	2	Green	Green	Orange	Green	Orange
373	75	1	Orange	Orange	Orange	Green	Green
-382	118	2	Green	Orange	Orange	Green	Green
118	281	1	Orange	Orange	Orange	Orange	Orange
298	-18	1	Orange	Orange	Orange	Green	Orange
328	-75	1	Orange	Orange	Orange	Orange	Orange
99	-136	1	Orange	Orange	Orange	Orange	Orange
-86	-168	2	Green	Orange	Orange	Orange	Green
281	-274	1	Orange	Orange	Orange	Orange	Green
-41	-255	2	Green	Green	Green	Green	Orange
-67	-64	2	Green	Orange	Green	Green	Orange
-177	-82	2	Green	Green	Green	Green	Orange
123	-145	1	Orange	Orange	Orange	Orange	Green
120	-98	1	Orange	Orange	Orange	Green	Green
-351	-22	2	Green	Green	Green	Green	Green
193	214	1	Orange	Orange	Green	Green	Green
-38	-20	2	Green	Green	Green	Orange	Green
-8	121	1	Orange	Orange	Orange	Orange	Orange
203	29	1	Orange	Orange	Orange	Orange	Orange
173	299	1	Orange	Orange	Orange	Green	Green
-384	-28	2	Green	Green	Green	Orange	Green
-246	-125	2	Green	Green	Green	Green	Orange
-35	-196	2	Green	Orange	Green	Orange	Orange
-177	-211	2	Green	Green	Green	Orange	Orange
-340	-8	2	Green	Green	Green	Green	Orange
-59	-152	2	Green	Orange	Green	Orange	Green
-102	-133	2	Green	Green	Green	Green	Green
112	-222	1	Orange	Green	Orange	Orange	Orange
-155	138	2	Green	Green	Green	Orange	Green
252	-113	1	Orange	Orange	Orange	Orange	Green
309	261	1	Orange	Orange	Orange	Green	Orange
175	281	1	Orange	Orange	Orange	Orange	Orange
-153	147	2	Green	Green	Green	Green	Orange
-170	-9	2	Green	Green	Green	Green	Green
121	-215	1	Orange	Orange	Orange	Green	Green
-241	-180	2	Green	Green	Orange	Green	Orange
106	-300	1	Orange	Orange	Orange	Green	Orange
-45	296	1	Orange	Orange	Green	Green	Green
-150	86	2	Green	Green	Orange	Orange	Orange
