"abs"	"ord"	Clust2	Segregation	Seg_High	Seg_Medium	Seg_Low	Seg_No
310	64	2	Green	Green	Green	Orange	Orange
305	263	2	Green	Green	Green	Green	Orange
-231	-141	1	Orange	Orange	Orange	Orange	Green
4	-72	1	Orange	Orange	Orange	Orange	Orange
-241	184	1	Orange	Orange	Orange	Orange	Green
228	287	2	Green	Green	Green	Orange	Green
164	275	2	Green	Green	Green	Orange	Orange
106	158	2	Green	Green	Green	Orange	Orange
-151	6	1	Orange	Orange	Green	Orange	Green
-384	-261	1	Orange	Orange	Green	Orange	Green
18	86	2	Green	Green	Green	Green	Green
-397	250	1	Orange	Green	Orange	Orange	Orange
49	-243	1	Orange	Orange	Orange	Green	Orange
83	-123	2	Green	Green	Green	Green	Green
-229	162	1	Orange	Orange	Orange	Orange	Green
252	-146	2	Green	Green	Green	Orange	Green
-362	11	1	Orange	Orange	Green	Orange	Green
-64	107	1	Orange	Orange	Green	Orange	Orange
-138	-212	1	Orange	Orange	Orange	Orange	Orange
-397	120	1	Orange	Orange	Orange	Orange	Orange
287	275	2	Green	Green	Orange	Green	Orange
286	197	2	Green	Orange	Green	Green	Orange
-54	-228	1	Orange	Green	Orange	Green	Orange
199	-156	2	Green	Green	Green	Orange	Green
375	146	2	Green	Green	Green	Green	Orange
-91	-111	1	Orange	Green	Orange	Orange	Green
-243	-86	1	Orange	Orange	Orange	Green	Green
215	249	2	Green	Green	Green	Orange	Orange
-379	-135	1	Orange	Orange	Orange	Green	Green
-63	-40	1	Orange	Orange	Orange	Orange	Orange
303	13	2	Green	Green	Green	Green	Green
56	-224	1	Orange	Orange	Orange	Orange	Orange
-85	274	1	Orange	Orange	Orange	Green	Green
229	156	2	Green	Green	Green	Orange	Green
334	-218	2	Green	Green	Green	Green	Orange
-15	259	2	Green	Green	Green	Green	Green
-305	-68	1	Orange	Orange	Orange	Orange	Orange
-61	-264	1	Orange	Orange	Orange	Orange	Orange
356	292	2	Green	Green	Green	Orange	Orange
-354	160	1	Orange	Orange	Orange	Orange	Green
131	119	2	Green	Green	Green	Green	Green
137	134	2	Green	Green	Green	Orange	Green
112	-252	2	Green	Orange	Orange	Orange	Green
4	263	2	Green	Green	Green	Green	Green
144	287	2	Green	Green	Orange	Green	Orange
27	196	2	Green	Green	Green	Green	Orange
145	-230	2	Green	Green	Green	Green	Orange
-125	-47	1	Orange	Orange	Orange	Green	Orange
-381	45	1	Orange	Orange	Orange	Orange	Green
262	292	2	Green	Green	Green	Green	Green
58	-227	1	Orange	Orange	Orange	Green	Orange
-183	-100	1	Orange	Orange	Orange	Orange	Green
312	-9	2	Green	Orange	Green	Green	Green
-266	194	1	Orange	Orange	Green	Green	Orange
93	294	2	Green	Orange	Orange	Green	Orange
-264	239	1	Orange	Orange	Orange	Orange	Orange
-242	251	1	Orange	Orange	Green	Orange	Green
249	-34	2	Green	Green	Green	Green	Orange
-53	-127	1	Orange	Orange	Orange	Green	Green
397	-171	2	Green	Green	Green	Green	Orange
-85	-149	1	Orange	Orange	Orange	Green	Orange
-392	243	1	Orange	Orange	Orange	Orange	Green
-339	113	1	Orange	Orange	Orange	Orange	Orange
-100	71	1	Orange	Orange	Orange	Orange	Orange
-2	-229	1	Orange	Green	Orange	Green	Orange
-163	66	1	Orange	Orange	Orange	Orange	Orange
-79	-213	1	Orange	Orange	Orange	Green	Orange
-367	294	1	Orange	Orange	Orange	Green	Orange
137	223	2	Green	Green	Green	Green	Orange
-210	-250	1	Orange	Orange	Orange	Orange	Green
-124	-38	1	Orange	Orange	Green	Orange	Orange
-397	26	1	Orange	Orange	Orange	Green	Orange
353	141	2	Green	Green	Green	Orange	Green
306	-48	2	Green	Green	Green	Green	Orange
-23	268	2	Green	Orange	Green	Green	Green
